DATE,TIME,SITE,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
7/15/2019,8:05:19 AM,Trout Bog,,718.3,17.5,17.4,0.01,17.4,11,77.5,-3,-3,92.2,7.58,97.5,-1.76,0,4.5,113.8,249.9,0.002,0.273,0.273
7/15/2019,8:05:21 AM,Trout Bog,,718.3,17.5,17.4,0.01,17.4,11,77.5,-3,-3,92.1,7.57,97.5,-1.74,0,4.5,113.9,250.5,-0.001,0.271,0.271
7/15/2019,8:05:23 AM,Trout Bog,,718.3,17.5,17.4,0.01,17.4,11,77.5,-3,-3,92.1,7.57,97.5,-1.76,0,4.5,114,251.2,0,0.272,0.272
7/15/2019,8:05:25 AM,Trout Bog,,718.3,18.4,18.2,0.01,18.2,12,77.5,-3,-3,92.1,7.57,97.5,-1.76,0,4.49,114.2,251.9,0,0.272,0.273
7/15/2019,8:05:27 AM,Trout Bog,,718.3,18.5,18.4,0.01,18.4,12,77.5,-3,-3,92.1,7.57,97.4,-1.75,0,4.38,120.9,264.3,0.002,0.273,0.272
7/15/2019,8:05:29 AM,Trout Bog,,718.3,18.5,18.4,0.01,18.4,12,77.5,-3,-3,92.1,7.57,97.5,-1.74,0,4.4,119.4,261,0.002,0.273,0.274
7/15/2019,8:05:31 AM,Trout Bog,,718.3,18.5,18.4,0.01,18.4,12,77.5,-3,-3,92.1,7.57,97.4,-1.73,0,4.41,119.1,260.7,0.001,0.272,0.272
7/15/2019,8:05:33 AM,Trout Bog,,718.3,18.5,18.4,0.01,18.4,12,77.5,-3,-3,92.1,7.57,97.5,-1.72,0,4.41,119,260.5,-0.001,0.271,0.276
7/15/2019,8:05:35 AM,Trout Bog,,718.3,18.5,18.4,0.01,18.4,12,77.5,-3,-3,92.1,7.57,97.5,-1.73,0,4.41,118.9,260.5,0.002,0.274,0.274
7/15/2019,8:05:37 AM,Trout Bog,,718.3,18.5,18.4,0.01,18.4,12,77.5,-3,-3,92.1,7.57,97.5,-1.75,0,4.41,118.9,260.6,0.002,0.274,0.279
7/15/2019,8:05:39 AM,Trout Bog,,718.3,18.5,18.4,0.01,18.4,12,77.5,-3,-3,92.2,7.58,97.5,-1.75,0,4.41,118.9,260.8,0.002,0.274,0.304
7/15/2019,8:05:41 AM,Trout Bog,,718.4,18.5,18.4,0.01,18.4,12,77.4,-3,-3,92.2,7.59,97.5,-1.76,0,4.41,119,261,0.005,0.276,0.337
7/15/2019,8:05:43 AM,Trout Bog,,718.3,18.5,18.4,0.01,18.4,12,77.4,-3,-3,92.2,7.59,97.6,-1.76,0,4.41,119.2,261.2,0.013,0.281,0.336
7/15/2019,8:05:45 AM,Trout Bog,,718.3,18.5,18.4,0.01,18.4,12,77.3,-3,-3,92.2,7.59,97.5,-1.76,0,4.41,119.3,261.5,0.018,0.285,0.358
7/15/2019,8:05:47 AM,Trout Bog,,718.3,18.5,18.4,0.01,18.4,12,77.3,-3,-3,92.1,7.59,97.5,-1.75,0,4.4,119.3,261.7,0.023,0.288,0.371
7/15/2019,8:05:49 AM,Trout Bog,,718.3,18.5,18.4,0.01,18.4,12,77.3,-3,-3,92,7.58,97.4,-1.76,0,4.4,119.4,262,0.038,0.299,0.466
7/15/2019,8:05:51 AM,Trout Bog,,718.4,18.5,18.4,0.01,18.4,12,77.2,-3,-3,91.9,7.57,97.2,-1.75,0,4.4,119.5,262.3,0.052,0.309,0.48
7/15/2019,8:05:53 AM,Trout Bog,,718.3,18.5,18.5,0.01,18.4,12,77.2,-3,-3,91.7,7.56,97,-1.75,0,4.4,119.6,262.7,0.07,0.322,0.513
7/15/2019,8:05:55 AM,Trout Bog,,718.3,18.5,18.5,0.01,18.5,12,77.1,-3,-3,91.4,7.54,96.7,-1.75,0,4.4,119.7,263.3,0.088,0.334,0.531
7/15/2019,8:05:57 AM,Trout Bog,,718.4,18.5,18.5,0.01,18.5,12,77,-2.9,-2.9,91,7.51,96.2,-1.75,0,4.4,119.8,263.9,0.11,0.35,0.561
7/15/2019,8:05:59 AM,Trout Bog,,718.4,18.5,18.5,0.01,18.6,12,76.8,-2.9,-2.9,90.6,7.49,95.8,-1.76,0,4.39,119.9,264.5,0.132,0.365,0.603
7/15/2019,8:06:01 AM,Trout Bog,,718.3,18.5,18.6,0.01,18.6,12,76.6,-2.9,-2.9,90.1,7.47,95.3,-1.75,0,4.39,119.9,265.1,0.158,0.384,0.626
7/15/2019,8:06:03 AM,Trout Bog,,718.3,18.5,18.7,0.01,18.7,12,76.2,-2.8,-2.8,89.5,7.44,94.7,-1.75,0,4.39,119.9,265.7,0.186,0.403,0.648
7/15/2019,8:06:05 AM,Trout Bog,,718.3,18.5,18.7,0.01,18.7,12,75.8,-2.8,-2.8,85.3,7.13,90.2,-1.75,0,4.39,119.8,266.4,0.217,0.425,0.704
7/15/2019,8:06:07 AM,Trout Bog,,718.3,18.5,19.2,0.01,19.3,13,73.2,-2.4,-2.4,84.2,7.21,89.1,-1.75,0,4.38,119.8,267,0.254,0.451,0.754
7/15/2019,8:06:09 AM,Trout Bog,,718.4,18.5,19.3,0.01,19.4,13,73.1,-2.4,-2.4,81.6,7.03,86.3,-1.74,0,4.38,119.7,267.8,0.287,0.474,0.792
7/15/2019,8:06:11 AM,Trout Bog,,718.3,18.6,19.4,0.01,19.5,13,72.9,-2.4,-2.4,73.3,6.31,77.6,-1.71,0,4.38,119.7,268.4,0.333,0.507,0.828
7/15/2019,8:06:13 AM,Trout Bog,,718.3,18.9,19.8,0.01,19.9,13,72.5,-2.3,-2.3,65,5.63,68.8,-1.7,0,4.38,119.6,269.2,0.374,0.535,0.863
7/15/2019,8:06:15 AM,Trout Bog,,718.3,19.2,20.3,0.01,20.4,13,71.9,-2.3,-2.3,54.2,4.72,57.4,-1.7,0,4.37,119.6,270.1,0.422,0.569,0.897
7/15/2019,8:06:17 AM,Trout Bog,,718.3,19.7,21.5,0.01,21.6,14,69.4,-2,-2,48.4,4.33,51.3,-1.67,0,4.36,119.7,271,0.467,0.601,0.908
7/15/2019,8:06:19 AM,Trout Bog,,718.3,20.3,22.1,0.01,22.3,14,69.2,-1.9,-1.9,41.4,3.71,43.8,-1.65,0,4.36,119.8,271.8,0.513,0.633,0.919
7/15/2019,8:06:21 AM,Trout Bog,,718.5,21,23,0.01,23.2,15,69,-1.9,-1.9,36.8,3.31,38.9,-1.64,0,4.35,120,272.7,0.556,0.664,0.985
7/15/2019,8:06:23 AM,Trout Bog,,718.3,21.8,23.9,0.01,24.1,16,68.6,-1.9,-1.8,34.4,3.1,36.3,-1.51,0,4.35,120.2,273.6,0.609,0.701,1.04
