Date,Time,Sit,DATA ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp (°F),Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
5/26/2021,11:17:11 AM,Trout Bog,,720.1,16.1,18.6,0.01,18.8,12,64.2,-1.4,-1.4,69.9,6.63,73.7,0.06,0,4.26,135.2,313.1,0,0.272,0.273
5/26/2021,11:17:13 AM,Trout Bog,,720.1,16,18.6,0.01,18.8,12,64.2,-1.4,-1.4,69.7,6.61,73.6,0.07,0,4.27,135.1,313.3,0,0.272,0.276
5/26/2021,11:17:15 AM,Trout Bog,,720.1,16,18.5,0.01,18.7,12,64.2,-1.4,-1.4,69.7,6.61,73.6,0.08,0,4.27,135,313.4,-0.001,0.271,0.274
5/26/2021,11:17:17 AM,Trout Bog,,720.1,16,18.5,0.01,18.7,12,64.3,-1.4,-1.4,69.8,6.62,73.7,0.07,0,4.27,134.9,313.5,-0.001,0.271,0.277
5/26/2021,11:17:19 AM,Trout Bog,,720.3,15.9,18.4,0.01,18.6,12,64.3,-1.4,-1.4,70.2,6.65,74,0.07,0,4.27,134.8,313.5,-0.001,0.271,0.276
5/26/2021,11:17:21 AM,Trout Bog,,720.3,15.8,18.3,0.01,18.5,12,64.3,-1.4,-1.4,70.6,6.69,74.4,0.1,0,4.27,134.8,313.4,-0.001,0.272,0.276
5/26/2021,11:17:23 AM,Trout Bog,,720.2,15.8,18.3,0.01,18.5,12,64.3,-1.4,-1.4,71,6.73,74.9,0.11,0,4.27,134.8,313.3,-0.001,0.272,0.275
5/26/2021,11:17:25 AM,Trout Bog,,720.3,15.8,18.3,0.01,18.5,12,64.4,-1.4,-1.4,71.4,6.76,75.3,0.19,0,4.27,134.7,313,-0.002,0.271,0.275
5/26/2021,11:17:27 AM,Trout Bog,,720.2,15.8,18.3,0.01,18.5,12,64.4,-1.4,-1.4,71.7,6.79,75.7,0.22,0,4.28,134.6,312.7,-0.001,0.272,0.273
5/26/2021,11:17:29 AM,Trout Bog,,720.2,15.8,18.3,0.01,18.5,12,64.4,-1.4,-1.4,71.9,6.81,75.9,0.19,0,4.28,134.6,312.4,-0.001,0.272,0.274
5/26/2021,11:17:31 AM,Trout Bog,,720.2,15.8,18.3,0.01,18.5,12,64.4,-1.4,-1.4,72,6.82,76,0.22,0,4.28,134.6,312.2,-0.002,0.271,0.275
5/26/2021,11:17:33 AM,Trout Bog,,720.1,15.8,18.3,0.01,18.5,12,64.4,-1.4,-1.4,72.1,6.83,76.1,0.23,0,4.28,134.7,311.9,0.001,0.273,0.272
5/26/2021,11:17:35 AM,Trout Bog,,720.1,15.8,18.3,0.01,18.5,12,64.4,-1.4,-1.4,72.1,6.83,76.1,0.21,0,4.27,134.8,311.8,0.001,0.273,0.275
5/26/2021,11:17:37 AM,Trout Bog,,720.1,15.8,18.3,0.01,18.5,12,64.4,-1.4,-1.4,72.1,6.83,76.1,0.2,0,4.27,135,311.8,-0.001,0.272,0.274
5/26/2021,11:17:39 AM,Trout Bog,,720.1,15.9,18.3,0.01,18.5,12,64.3,-1.4,-1.4,72.1,6.83,76.1,0.15,0,4.27,135.2,311.9,-0.001,0.271,0.272
5/26/2021,11:17:41 AM,Trout Bog,,720.2,15.9,18.4,0.01,18.6,12,64.3,-1.4,-1.4,72,6.82,75.9,0.11,0,4.26,135.4,312.1,0.001,0.273,0.274
5/26/2021,11:17:43 AM,Trout Bog,,720.1,15.9,18.4,0.01,18.6,12,64.3,-1.4,-1.4,71.8,6.8,75.8,0.1,0,4.26,135.6,312.3,0.001,0.273,0.275
5/26/2021,11:17:45 AM,Trout Bog,,720.1,15.9,18.4,0.01,18.6,12,64.3,-1.4,-1.4,71.7,6.79,75.6,0.11,0,4.25,135.8,312.7,-0.001,0.271,0.275
5/26/2021,11:17:47 AM,Trout Bog,,720.2,15.9,18.4,0.01,18.6,12,64.3,-1.4,-1.4,71.6,6.78,75.6,0.09,0,4.25,136,313.1,0.001,0.272,0.279
5/26/2021,11:17:49 AM,Trout Bog,,720.1,15.9,18.4,0.01,18.6,12,64.3,-1.4,-1.4,71.6,6.78,75.5,0.1,0,4.25,136.3,313.6,0.002,0.274,0.299
5/26/2021,11:17:51 AM,Trout Bog,,720.3,15.9,18.4,0.01,18.6,12,64.3,-1.4,-1.4,71.5,6.78,75.5,0.12,0,4.24,136.6,314.1,0.004,0.275,0.307
5/26/2021,11:17:53 AM,Trout Bog,,720.4,15.9,18.3,0.01,18.6,12,64.3,-1.4,-1.4,71.4,6.77,75.4,0.12,0,4.24,136.8,314.7,0.004,0.275,0.311
5/26/2021,11:17:55 AM,Trout Bog,,720.3,15.8,18.3,0.01,18.5,12,64.3,-1.4,-1.4,71.5,6.77,75.4,0.14,0,4.23,137,315.4,0.008,0.278,0.331
5/26/2021,11:17:57 AM,Trout Bog,,720.1,15.8,18.3,0.01,18.5,12,64.3,-1.4,-1.4,71.5,6.78,75.5,0.14,0,4.23,137.2,316,0.013,0.281,0.321
5/26/2021,11:17:59 AM,Trout Bog,,720.1,15.8,18.3,0.01,18.5,12,64.3,-1.4,-1.4,71.5,6.78,75.4,0.12,0,4.23,137.4,316.5,0.018,0.285,0.35
5/26/2021,11:18:01 AM,Trout Bog,,720.2,15.8,18.3,0.01,18.5,12,64.3,-1.4,-1.4,71.4,6.77,75.3,0.14,0,4.22,137.6,317.1,0.026,0.291,0.348
5/26/2021,11:18:03 AM,Trout Bog,,720.2,15.8,18.3,0.01,18.5,12,64.3,-1.4,-1.4,71.3,6.76,75.2,0.15,0,4.22,137.7,317.7,0.032,0.294,0.374
5/26/2021,11:18:05 AM,Trout Bog,,720.3,15.9,18.3,0.01,18.5,12,64.3,-1.4,-1.4,71.2,6.75,75.2,0.14,0,4.22,137.9,318.3,0.039,0.3,0.4
5/26/2021,11:18:07 AM,Trout Bog,,720.1,15.9,18.3,0.01,18.6,12,64.3,-1.4,-1.4,71.2,6.75,75.2,0.14,0,4.22,138,319,0.051,0.308,0.411
5/26/2021,11:18:09 AM,Trout Bog,,720.1,15.9,18.3,0.01,18.6,12,64.2,-1.4,-1.4,71.2,6.75,75.1,0.14,0,4.21,138.2,319.8,0.06,0.314,0.416
