Date,Time,Site,DATA ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp (°F),Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
6/8/2021,10:55:49 AM,Trout Bog,,718.9,19.7,19,0.01,19,12,80.2,-3.4,-3.4,81.4,6.51,86,-0.23,0,4.38,120.4,250.7,-0.001,0.271,0.272
6/8/2021,10:55:51 AM,Trout Bog,,718.9,19.6,19,0.01,18.9,12,80.2,-3.4,-3.4,81.4,6.51,86,-0.23,0,4.38,120.4,251.1,-0.001,0.271,0.271
6/8/2021,10:55:53 AM,Trout Bog,,718.9,19.6,19,0.01,18.9,12,80.2,-3.4,-3.4,81.3,6.51,85.9,-0.24,0,4.38,120.8,254.5,-0.002,0.27,0.272
6/8/2021,10:55:55 AM,Trout Bog,,718.9,19.6,19,0.01,19,12,80.1,-3.4,-3.4,81.2,6.5,85.8,-0.24,0,4.37,121.1,256.5,-0.001,0.272,0.272
6/8/2021,10:55:57 AM,Trout Bog,,718.9,19.7,19.1,0.01,19,12,80,-3.4,-3.4,81,6.49,85.6,-0.25,0,4.37,121.3,256.7,0.001,0.273,0.274
6/8/2021,10:55:59 AM,Trout Bog,,718.9,19.7,19.2,0.01,19.1,12,79.9,-3.4,-3.4,80.7,6.47,85.3,-0.24,0,4.36,121.4,256.6,0,0.272,0.273
6/8/2021,10:56:01 AM,Trout Bog,,718.9,19.8,19.2,0.01,19.2,12,79.7,-3.3,-3.3,80.2,6.45,84.8,-0.24,0,4.36,121.5,256.5,0,0.272,0.274
6/8/2021,10:56:03 AM,Trout Bog,,718.9,19.9,19.3,0.01,19.3,13,79.5,-3.3,-3.3,79.7,6.42,84.3,-0.22,0,4.36,121.6,256.6,0.001,0.273,0.273
6/8/2021,10:56:05 AM,Trout Bog,,718.9,20,19.5,0.01,19.4,13,79.3,-3.3,-3.3,75.1,6.06,79.4,-0.2,0,4.36,121.7,256.8,-0.001,0.271,0.284
6/8/2021,10:56:07 AM,Trout Bog,,718.8,20,19.6,0.01,19.6,13,79,-3.2,-3.2,74,5.99,78.2,-0.21,0,4.35,121.8,257.1,0.003,0.274,0.312
6/8/2021,10:56:09 AM,Trout Bog,,718.9,20.1,19.7,0.01,19.7,13,78.7,-3.2,-3.2,73.6,5.97,77.8,-0.2,0,4.35,121.8,257.5,0.009,0.278,0.343
6/8/2021,10:56:11 AM,Trout Bog,,718.9,20.1,19.8,0.01,19.7,13,78.3,-3.1,-3.1,73.2,5.96,77.4,-0.2,0,4.35,121.8,257.9,0.013,0.281,0.385
6/8/2021,10:56:13 AM,Trout Bog,,718.9,20.1,19.9,0.01,19.8,13,78,-3.1,-3.1,73,5.97,77.2,-0.2,0,4.35,121.8,258.9,0.028,0.291,0.418
6/8/2021,10:56:15 AM,Trout Bog,,718.9,20.1,19.9,0.01,19.9,13,77.5,-3,-3,72.9,5.98,77.1,-0.2,0,4.35,121.7,259.6,0.036,0.298,0.439
