Date,Time,Site,DATA ID,Barometer,Cond,Sp Cond,Sal,nLFCond,TDS,Temp (°F),Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
6/22/2021,11:20:33 AM,Trout Bog,,716.6,17.5,19.7,0.01,19.9,13,66.4,-1.6,-1.6,64.4,5.96,68.3,0.46,0,4.52,122.2,251.5,-0.002,0.271,0.269
6/22/2021,11:20:35 AM,Trout Bog,,716.7,17.5,19.7,0.01,19.9,13,66.4,-1.6,-1.6,64,5.92,67.8,0.44,0,4.52,122.3,252.2,-0.002,0.271,0.272
6/22/2021,11:20:37 AM,Trout Bog,,716.6,17.5,19.8,0.01,20,13,66.4,-1.6,-1.6,63.6,5.89,67.4,0.44,0,4.51,122.8,253.8,-0.001,0.271,0.271
6/22/2021,11:20:39 AM,Trout Bog,,716.6,17.6,19.8,0.01,20,13,66.3,-1.6,-1.6,63.3,5.86,67.1,0.44,0,4.51,123.2,255,-0.002,0.27,0.274
6/22/2021,11:20:41 AM,Trout Bog,,716.7,17.6,19.9,0.01,20.1,13,66.3,-1.6,-1.6,62.9,5.82,66.7,0.44,0,4.5,123.3,255.9,-0.002,0.27,0.271
6/22/2021,11:20:43 AM,Trout Bog,,716.7,17.7,19.9,0.01,20.1,13,66.3,-1.6,-1.6,62.3,5.77,66.1,0.45,0,4.5,123.3,256.4,-0.002,0.271,0.273
6/22/2021,11:20:45 AM,Trout Bog,,716.7,17.7,20,0.01,20.2,13,66.3,-1.6,-1.6,61.8,5.73,65.6,0.43,0,4.5,123.3,257,-0.002,0.271,0.273
6/22/2021,11:20:47 AM,Trout Bog,,716.6,17.8,20.1,0.01,20.3,13,66.3,-1.6,-1.6,61.5,5.7,65.2,0.44,0,4.5,123.4,257.5,-0.001,0.271,0.274
6/22/2021,11:20:49 AM,Trout Bog,,716.5,17.9,20.1,0.01,20.4,13,66.3,-1.6,-1.6,61.1,5.67,64.9,0.43,0,4.5,123.5,258,0,0.272,0.274
6/22/2021,11:20:51 AM,Trout Bog,,716.6,17.9,20.2,0.01,20.4,13,66.3,-1.6,-1.6,60.8,5.64,64.5,0.45,0,4.5,123.6,258.8,0,0.272,0.281
6/22/2021,11:20:53 AM,Trout Bog,,716.6,17.9,20.2,0.01,20.4,13,66.2,-1.6,-1.6,60.5,5.61,64.1,0.46,0,4.49,123.8,260.3,0.003,0.274,0.296
