Date ,Time,Site Name,Cond,Depth,nLFCond,ODO,ODO.1,ORP,Pressure,Sal,SpCond,TDS,Turbidity,TSS,pH,pH.1,Temp,Vertical_Position,Barometer
6/28/2021,13:21:52,Trout Bog,20.2,0.272,18.4,93.4,7.11,244.6,0,0.01,18.6,12,0.34,0,4.42,119.8,29.602,0.272,720.8
6/28/2021,13:21:54,Trout Bog,20.2,0.273,18.4,93.5,7.11,245.5,0.002,0.01,18.6,12,0.33,0,4.42,119.9,29.638,0.274,720.8
6/28/2021,13:21:56,Trout Bog,20.2,0.273,18.4,93.4,7.11,257.6,0.002,0.01,18.6,12,0.29,0,4.41,120.1,29.602,0.271,720.8
6/28/2021,13:21:58,Trout Bog,20.2,0.272,19.2,85.8,6.71,257.2,0.001,0.01,19.3,13,0.28,0,4.4,120.3,27.384,0.273,720.8
6/28/2021,13:22:00,Trout Bog,20.2,0.272,19.8,85.4,6.87,258.5,0.001,0.01,19.8,13,0.28,0,4.38,120.4,26.172,0.274,720.8
6/28/2021,13:22:02,Trout Bog,20.2,0.273,19.8,85.3,6.92,259.9,0.001,0.01,19.8,13,0.27,0,4.38,120.5,25.965,0.274,720.8
6/28/2021,13:22:04,Trout Bog,20.1,0.273,19.7,84.6,6.88,261.1,0.001,0.01,19.8,13,0.26,0,4.37,120.5,25.879,0.275,720.8
6/28/2021,13:22:06,Trout Bog,20,0.273,19.6,84.2,6.85,262.5,0.001,0.01,19.7,13,0.24,0,4.37,120.6,25.887,0.275,720.8
6/28/2021,13:22:08,Trout Bog,19.9,0.273,19.6,83.6,6.81,263.7,0.001,0.01,19.6,13,0.23,0,4.37,120.7,25.788,0.274,720.8
6/28/2021,13:22:10,Trout Bog,19.7,0.273,19.5,83,6.78,265,0.001,0.01,19.5,13,0.25,0,4.37,120.8,25.627,0.273,720.8
6/28/2021,13:22:12,Trout Bog,19.6,0.274,19.4,82.6,6.76,266,0.003,0.01,19.5,13,0.26,0,4.37,120.8,25.471,0.274,720.7
6/28/2021,13:22:14,Trout Bog,19.6,0.274,20,82.2,6.91,267,0.003,0.01,19.9,13,0.26,0,4.35,120.8,24.05,0.278,720.7
6/28/2021,13:22:16,Trout Bog,19.5,0.276,20,81.7,6.91,267.9,0.005,0.01,20,13,0.25,0,4.35,120.8,23.743,0.306,720.7
6/28/2021,13:22:18,Trout Bog,19.4,0.278,20,81.3,6.89,268.8,0.008,0.01,20,13,0.26,0,4.35,120.7,23.592,0.323,720.7
6/28/2021,13:22:20,Trout Bog,19.3,0.28,20,81,6.88,269.6,0.012,0.01,19.9,13,0.28,0,4.35,120.6,23.455,0.34,720.8
6/28/2021,13:22:22,Trout Bog,19.2,0.285,19.9,80.9,6.89,270.7,0.019,0.01,19.9,13,0.28,0,4.35,120.6,23.355,0.36,720.7
6/28/2021,13:22:24,Trout Bog,19.1,0.289,19.8,80.8,6.89,272.5,0.025,0.01,19.8,13,0.3,0,4.35,120.6,23.302,0.375,720.8
6/28/2021,13:22:26,Trout Bog,19,0.296,19.8,80.8,6.9,274.1,0.034,0.01,19.7,13,0.31,0,4.35,120.6,23.234,0.394,720.8
6/28/2021,13:22:28,Trout Bog,18.9,0.304,19.7,80.6,6.89,275.6,0.045,0.01,19.6,13,0.3,0,4.35,120.5,23.171,0.407,720.7
6/28/2021,13:22:30,Trout Bog,18.8,0.311,19.6,80.3,6.88,276.9,0.055,0.01,19.6,13,0.31,0,4.35,120.5,23.05,0.436,720.8
6/28/2021,13:22:32,Trout Bog,18.8,0.32,19.6,80,6.87,278.4,0.068,0.01,19.5,13,0.31,0,4.35,120.5,22.905,0.45,720.8
6/28/2021,13:22:34,Trout Bog,18.7,0.331,19.6,79.6,6.85,279.6,0.084,0.01,19.5,13,0.29,0,4.35,120.5,22.776,0.461,720.7
6/28/2021,13:22:36,Trout Bog,18.7,0.34,19.6,79.1,6.83,280.9,0.097,0.01,19.5,13,0.3,0,4.35,120.5,22.635,0.483,720.8
6/28/2021,13:22:38,Trout Bog,18.6,0.353,19.7,78.7,6.81,282.1,0.115,0.01,19.6,13,0.31,0,4.34,120.6,22.501,0.507,720.8
6/28/2021,13:22:40,Trout Bog,18.6,0.365,19.7,78.1,6.78,283.2,0.132,0.01,19.6,13,0.31,0,4.34,120.6,22.387,0.528,720.8
6/28/2021,13:22:42,Trout Bog,18.6,0.381,19.8,77.5,6.74,284.3,0.155,0.01,19.7,13,0.31,0,4.34,120.7,22.289,0.554,720.7
6/28/2021,13:22:44,Trout Bog,18.7,0.395,19.8,76.9,6.7,285.4,0.175,0.01,19.7,13,0.32,0,4.34,120.8,22.21,0.573,720.8
6/28/2021,13:22:46,Trout Bog,18.7,0.412,19.9,76.2,6.65,286.5,0.198,0.01,19.8,13,0.35,0,4.34,120.9,22.143,0.596,720.9
6/28/2021,13:22:48,Trout Bog,18.7,0.432,19.9,70.6,6.16,287.5,0.226,0.01,19.8,13,0.37,0,4.33,121,22.072,0.611,720.7
6/28/2021,13:22:50,Trout Bog,18.8,0.449,20,66.9,5.85,288.6,0.251,0.01,19.9,13,0.38,0,4.33,121.2,21.981,0.634,720.8
6/28/2021,13:22:52,Trout Bog,18.8,0.468,20.1,59.9,5.25,289.8,0.278,0.01,20,13,0.4,0,4.32,121.4,21.85,0.655,720.8
6/28/2021,13:22:54,Trout Bog,18.8,0.486,20.2,58.8,5.17,290.8,0.304,0.01,20.1,13,0.43,0,4.32,121.5,21.675,0.673,720.8
6/28/2021,13:22:56,Trout Bog,18.8,0.507,20.3,59,5.21,291.8,0.333,0.01,20.2,13,0.45,0,4.32,121.7,21.465,0.698,720.8
6/28/2021,13:22:58,Trout Bog,18.8,0.527,20.4,58.9,5.22,292.7,0.362,0.01,20.3,13,0.47,0,4.31,121.8,21.23,0.715,720.7
6/28/2021,13:23:00,Trout Bog,18.8,0.548,20.5,58.9,5.25,293.5,0.391,0.01,20.4,13,0.48,0,4.31,121.9,20.978,0.733,720.7
6/28/2021,13:23:02,Trout Bog,18.8,0.565,20.6,58.9,5.27,294.3,0.416,0.01,20.5,13,0.49,0,4.3,122,20.707,0.748,720.8
6/28/2021,13:23:04,Trout Bog,18.8,0.586,20.7,58.7,5.28,295.1,0.445,0.01,20.6,13,0.51,0,4.3,122,20.464,0.767,720.8
6/28/2021,13:23:06,Trout Bog,18.8,0.604,20.8,58.3,5.27,295.8,0.472,0.01,20.7,13,0.5,0,4.3,122.2,20.23,0.778,720.8
6/28/2021,13:23:08,Trout Bog,18.8,0.625,21,53.8,4.88,296.5,0.501,0.01,20.8,14,0.48,0,4.29,122.3,19.993,0.795,720.8
