Date,Time,Site,Cond,Depth,Cond,ODO,ODO.1,ORP,Pressure,Sal psu,nLFCond,TDS,Turbidity,TSS,pH,pH.1,Temp,Vertical_Position,Barometer mmHg
8/3/2021,11:06:55,Trout Bog,18.3,0.273,19.4,73.5,6.41,262.5,0.001,0.01,19.3,13,0.61,0,4.37,102.8,22.198,0.274,720.6
8/3/2021,11:06:57,Trout Bog,18.2,0.273,19.4,73.4,6.4,262.8,0.002,0.01,19.3,13,0.6,0,4.37,102.8,22.197,0.274,720.7
8/3/2021,11:06:59,Trout Bog,18.2,0.273,19.4,73.3,6.39,263.2,0.002,0.01,19.3,13,0.59,0,4.37,102.8,22.196,0.274,720.6
8/3/2021,11:07:01,Trout Bog,18.2,0.273,19.4,73.2,6.38,263.7,0.002,0.01,19.3,13,0.58,0,4.37,103,22.197,0.273,720.7
8/3/2021,11:07:03,Trout Bog,18,0.273,19.1,73.1,6.37,264.3,0.002,0.01,19,12,0.57,0,4.29,107.7,22.195,0.272,720.7
8/3/2021,11:07:05,Trout Bog,18.1,0.273,19.2,73,6.36,274.5,0.002,0.01,19.1,12,0.58,0,4.25,109.8,22.179,0.274,720.7
8/3/2021,11:07:07,Trout Bog,18.2,0.273,19.3,72.8,6.35,283.8,0.002,0.01,19.2,12,0.59,0,4.2,112.9,22.158,0.274,720.7
8/3/2021,11:07:09,Trout Bog,18.2,0.273,19.4,72.7,6.34,282.3,0.002,0.01,19.3,13,0.6,0,4.21,112.4,22.134,0.275,720.7
8/3/2021,11:07:11,Trout Bog,18.3,0.273,19.5,72.4,6.32,281.5,0.002,0.01,19.4,13,0.59,0,4.22,111.8,22.103,0.274,720.6
8/3/2021,11:07:13,Trout Bog,18.4,0.274,19.6,72.2,6.3,281.3,0.002,0.01,19.5,13,0.58,0,4.23,111.3,22.061,0.273,720.7
8/3/2021,11:07:15,Trout Bog,18.7,0.274,19.9,71.9,6.28,281.5,0.002,0.01,19.8,13,0.57,0,4.23,110.9,22.009,0.274,720.7
8/3/2021,11:07:17,Trout Bog,18.7,0.274,20,71.6,6.27,281.9,0.002,0.01,19.9,13,0.57,0,4.24,110.7,21.964,0.274,720.6
8/3/2021,11:07:19,Trout Bog,18.7,0.274,20,71.4,6.25,282.3,0.003,0.01,19.9,13,0.58,0,4.24,110.6,21.919,0.289,720.7
8/3/2021,11:07:21,Trout Bog,18.7,0.275,20,71.2,6.24,282.7,0.005,0.01,19.9,13,0.59,0,4.24,110.4,21.878,0.304,720.7
8/3/2021,11:07:23,Trout Bog,18.7,0.278,20,71.1,6.24,283,0.008,0.01,19.9,13,0.59,0,4.24,110.3,21.841,0.329,720.7
8/3/2021,11:07:25,Trout Bog,18.7,0.281,20,71.1,6.24,283.4,0.012,0.01,19.9,13,0.58,0,4.24,110.2,21.808,0.334,720.7
8/3/2021,11:07:27,Trout Bog,18.7,0.284,20,71.1,6.24,283.7,0.018,0.01,19.9,13,0.59,0,4.25,110.1,21.791,0.352,720.7
8/3/2021,11:07:29,Trout Bog,18.7,0.289,20,71.2,6.25,284.1,0.024,0.01,19.9,13,0.59,0,4.25,109.9,21.772,0.357,720.7
8/3/2021,11:07:31,Trout Bog,18.7,0.294,20,71.3,6.26,284.7,0.031,0.01,19.9,13,0.61,0,4.25,109.6,21.756,0.377,720.7
