Date,Time,Site Name,Cond,Depth,nLFCond,ODO,ODO.1,ORP,Pressure,Sal psu,Sp_Cond,TDS,Turbidity,TSS,pH,pH.1,Temp,Vertical_Position,Barometer
8/9/2021,11:49:35,Trout Bog,9.1,0.272,9.2,87,7.25,292.2,-0.001,0,9.2,6,0.99,0,4.17,111.9,24.498,0.273,715.7
8/9/2021,11:49:37,Trout Bog,9.2,0.272,9.3,86.9,7.25,292.6,0,0,9.2,6,1.02,0,4.17,111.9,24.512,0.274,715.7
8/9/2021,11:49:39,Trout Bog,10.5,0.272,10.6,86.9,7.24,293,0,0,10.6,7,0.96,0,4.16,112,24.521,0.274,715.7
8/9/2021,11:49:41,Trout Bog,11.8,0.272,11.9,86.8,7.24,293.8,0,0,11.9,8,0.9,0,4.16,112.3,24.506,0.273,715.8
8/9/2021,11:49:43,Trout Bog,13.3,0.272,13.4,86.6,7.22,295,0,0,13.4,9,0.86,0,4.15,112.7,24.487,0.272,715.7
8/9/2021,11:49:45,Trout Bog,14.8,0.272,15,86.2,7.2,295.8,0,0.01,15,10,0.83,0,4.15,113,24.414,0.274,715.7
8/9/2021,11:49:47,Trout Bog,16.3,0.272,17,82.5,6.91,296.3,0,0.01,16.9,11,0.79,0,4.14,113,23.099,0.272,715.7
8/9/2021,11:49:49,Trout Bog,17.8,0.272,18.6,82.7,7.1,297.1,0.001,0.01,18.5,12,0.72,0,4.13,113.1,22.932,0.273,715.6
8/9/2021,11:49:51,Trout Bog,18.7,0.272,19.5,82,7.05,297.8,0.001,0.01,19.5,13,0.64,0,4.13,113.1,22.917,0.273,715.7
8/9/2021,11:49:53,Trout Bog,18.7,0.272,19.6,81.4,7,299.1,0.001,0.01,19.5,13,0.61,0,4.13,113.3,22.875,0.272,715.7
8/9/2021,11:49:55,Trout Bog,18.6,0.273,19.6,81.1,6.98,300.6,0.001,0.01,19.5,13,0.59,0,4.12,113.5,22.76,0.273,715.7
8/9/2021,11:49:57,Trout Bog,18.6,0.273,19.6,80.9,6.98,302.3,0.001,0.01,19.5,13,0.57,0,4.12,113.6,22.671,0.274,715.7
8/9/2021,11:49:59,Trout Bog,18.6,0.273,19.6,80.7,6.97,304,0.001,0.01,19.5,13,0.56,0,4.11,113.8,22.617,0.272,715.7
8/9/2021,11:50:01,Trout Bog,18.6,0.273,19.5,80.6,6.97,305.7,0.001,0.01,19.4,13,0.54,0,4.11,114,22.579,0.273,715.7
8/9/2021,11:50:03,Trout Bog,18.5,0.273,19.5,80.5,6.96,307.3,0.001,0.01,19.4,13,0.54,0,4.11,114,22.545,0.272,715.7
8/9/2021,11:50:05,Trout Bog,18.5,0.273,19.5,80.3,6.96,308.6,0.001,0.01,19.4,13,0.53,0,4.11,113.9,22.472,0.275,715.7
8/9/2021,11:50:07,Trout Bog,18.5,0.273,19.5,80.3,6.96,310.1,0.002,0.01,19.4,13,0.51,0,4.11,113.9,22.43,0.276,715.7
8/9/2021,11:50:09,Trout Bog,18.4,0.273,19.5,80.2,6.96,311.7,0.001,0.01,19.4,13,0.51,0,4.11,114,22.412,0.272,715.6
8/9/2021,11:50:11,Trout Bog,18.4,0.273,19.5,80.2,6.96,313.4,0.002,0.01,19.4,13,0.51,0,4.11,114,22.402,0.275,715.7
8/9/2021,11:50:13,Trout Bog,18.4,0.273,19.5,80.2,6.96,314.9,0.002,0.01,19.4,13,0.5,0,4.11,114.1,22.391,0.276,715.7
8/9/2021,11:50:15,Trout Bog,18.4,0.274,19.5,80.1,6.96,316.2,0.003,0.01,19.4,13,0.52,0,4.11,114.2,22.371,0.283,715.6
8/9/2021,11:50:17,Trout Bog,18.4,0.275,19.5,80,6.95,317.4,0.004,0.01,19.4,13,0.51,0,4.1,114.2,22.345,0.292,715.7
8/9/2021,11:50:19,Trout Bog,18.4,0.277,19.5,80,6.95,318.5,0.006,0.01,19.4,13,0.52,0,4.1,114.3,22.316,0.318,715.6
8/9/2021,11:50:21,Trout Bog,18.4,0.279,19.5,79.9,6.95,319.5,0.009,0.01,19.4,13,0.53,0,4.1,114.4,22.292,0.324,715.6
8/9/2021,11:50:23,Trout Bog,18.4,0.283,19.5,79.9,6.95,320.5,0.015,0.01,19.4,13,0.55,0,4.1,114.4,22.263,0.355,715.6
8/9/2021,11:50:25,Trout Bog,18.4,0.287,19.5,79.8,6.94,321.5,0.022,0.01,19.4,13,0.56,0,4.1,114.5,22.241,0.369,715.8
8/9/2021,11:50:27,Trout Bog,18.4,0.293,19.5,79.7,6.94,322.4,0.029,0.01,19.4,13,0.57,0,4.1,114.5,22.215,0.379,715.6
8/9/2021,11:50:29,Trout Bog,18.4,0.299,19.5,79.7,6.94,323.3,0.038,0.01,19.4,13,0.58,0,4.1,114.6,22.2,0.396,715.7
