Date,Time ,Site Name,Cond,Depth,nLFCond,ODO,ODO.1,ORP,Pressure,Sal,Sp_Cond,TDS,Turbidity,TSS,pH,pH.1,Temp,Vertical_Position,Barometer
8/27/2021,12:19:00,Trout Bog,0.2,0.272,0.3,86,7.7,248.2,0,0,0.3,0,114.18,0,4.67,90.1,20.782,0.272,720.2
8/27/2021,12:19:02,Trout Bog,0.2,0.272,0.3,90.6,8.11,248.8,0,0,0.3,0,0.62,0,4.68,89.9,20.791,0.271,720.3
8/27/2021,12:19:04,Trout Bog,1.5,0.272,1.6,86.9,7.77,265.5,0,0,1.6,1,0.41,0,4.5,100.1,20.811,0.273,720.2
8/27/2021,12:19:06,Trout Bog,4.1,0.272,4.5,79.3,7.09,270.2,0,0,4.5,3,0.27,0,4.42,105.2,20.843,0.271,720.3
8/27/2021,12:19:08,Trout Bog,6.9,0.272,7.6,73.5,6.57,271.7,0,0,7.5,5,0.28,0,4.37,108,20.882,0.273,720.2
8/27/2021,12:19:10,Trout Bog,10.1,0.272,11,71.3,6.37,275.6,0,0,10.9,7,0.29,0,4.34,109.7,20.934,0.271,720.2
8/27/2021,12:19:12,Trout Bog,12.9,0.272,14,69.6,6.21,277.3,0,0.01,13.9,9,0.3,0,4.33,110.3,20.973,0.273,720.1
8/27/2021,12:19:14,Trout Bog,15.6,0.272,17.1,68.4,6.1,277.8,0,0.01,16.9,11,0.3,0,4.33,110.4,21.007,0.273,720.2
8/27/2021,12:19:16,Trout Bog,17.9,0.272,19.5,64.2,5.72,278.3,0,0.01,19.4,13,0.29,0,4.33,110.6,21.031,0.273,720.3
8/27/2021,12:19:18,Trout Bog,18.1,0.272,19.7,63.3,5.64,278.9,0,0.01,19.6,13,0.29,0,4.32,110.8,21.033,0.273,720.3
8/27/2021,12:19:20,Trout Bog,18,0.272,19.7,62.9,5.6,279.5,0,0.01,19.5,13,0.3,0,4.32,111,21.026,0.274,720.4
8/27/2021,12:19:22,Trout Bog,18,0.272,19.6,62.6,5.58,280.2,0,0.01,19.5,13,0.29,0,4.32,111.1,21.02,0.273,720.2
8/27/2021,12:19:24,Trout Bog,18,0.273,19.6,62.3,5.55,280.8,0.001,0.01,19.4,13,0.28,0,4.31,111.3,21.013,0.292,720.2
8/27/2021,12:19:26,Trout Bog,17.9,0.275,19.6,62,5.53,281.4,0.005,0.01,19.4,13,0.27,0,4.31,111.5,21.003,0.317,720.2
8/27/2021,12:19:28,Trout Bog,17.9,0.279,19.5,61.8,5.51,281.9,0.01,0.01,19.4,13,0.26,0,4.31,111.6,20.993,0.35,720.3
8/27/2021,12:19:30,Trout Bog,17.9,0.284,19.5,61.6,5.5,282.9,0.017,0.01,19.4,13,0.26,0,4.3,112.1,20.984,0.37,720.2
8/27/2021,12:19:32,Trout Bog,17.9,0.29,19.5,61.4,5.48,283.9,0.026,0.01,19.3,13,0.26,0,4.3,112.2,20.977,0.395,720.2
8/27/2021,12:19:34,Trout Bog,17.8,0.296,19.5,61.1,5.45,284.8,0.034,0.01,19.3,13,0.27,0,4.29,112.4,20.971,0.416,720.2
8/27/2021,12:19:36,Trout Bog,17.8,0.305,19.5,60.8,5.43,285.8,0.047,0.01,19.3,13,0.27,0,4.29,112.7,20.964,0.444,720.2
8/27/2021,12:19:38,Trout Bog,17.8,0.315,19.5,60.6,5.41,286.8,0.061,0.01,19.3,13,0.28,0,4.29,112.9,20.958,0.475,720.2
8/27/2021,12:19:40,Trout Bog,17.8,0.326,19.5,60.4,5.39,287.8,0.077,0.01,19.3,13,0.27,0,4.28,113.1,20.953,0.508,720.2
8/27/2021,12:19:42,Trout Bog,17.8,0.341,19.5,60.3,5.38,288.6,0.097,0.01,19.3,13,0.28,0,4.28,113.2,20.943,0.546,720.2
8/27/2021,12:19:44,Trout Bog,17.8,0.355,19.5,60.2,5.37,289.4,0.118,0.01,19.3,13,0.28,0,4.28,113.4,20.92,0.571,720.2
8/27/2021,12:19:46,Trout Bog,17.8,0.374,19.5,60,5.36,290.1,0.144,0.01,19.4,13,0.28,0,4.27,113.5,20.892,0.61,720.3
8/27/2021,12:19:48,Trout Bog,17.9,0.392,19.6,59.9,5.36,290.9,0.17,0.01,19.4,13,0.27,0,4.27,113.6,20.861,0.638,720.2
8/27/2021,12:19:50,Trout Bog,17.9,0.414,19.6,59.8,5.35,291.7,0.201,0.01,19.5,13,0.26,0,4.27,113.7,20.829,0.68,720.1
8/27/2021,12:19:52,Trout Bog,18,0.435,19.7,59.7,5.34,292.5,0.232,0.01,19.6,13,0.27,0,4.27,113.8,20.799,0.708,720.3
