Date,Time,Site Name,Cond,Depth,nLFCond,ODO,ODO.1,ORP,Pressure,Sal,Sp_Cond,TDS,Turbidity,TSS,pH,pH.1,Temp,Vertical_Position,Barometer
5/30/2022,11:20:59,Trout Bog,15.8,0.295,17.6,91.2,8.26,254.6,0.033,0.01,17.4,11,0.45,0,4.68,122.3,20.186,0.3,711.6
5/30/2022,11:21:01,Trout Bog,15.8,0.296,17.6,91.2,8.26,254.1,0.033,0.01,17.4,11,0.45,0,4.68,122.4,20.16,0.305,711.7
5/30/2022,11:21:03,Trout Bog,15.8,0.295,17.6,91.1,8.26,254.2,0.033,0.01,17.4,11,0.45,0,4.62,125.6,20.131,0.287,711.6
5/30/2022,11:21:05,Trout Bog,15.8,0.295,17.6,91,8.26,254.2,0.033,0.01,17.4,11,0.45,0,4.6,127.1,20.106,0.305,711.6
5/30/2022,11:21:07,Trout Bog,15.8,0.295,17.6,90.9,8.25,254.3,0.033,0.01,17.5,11,0.46,0,4.59,127.4,20.056,0.285,711.6
5/30/2022,11:21:09,Trout Bog,15.8,0.294,17.6,90.8,8.25,254.4,0.031,0.01,17.5,11,0.45,0,4.59,127.3,20.011,0.293,711.5
5/30/2022,11:21:11,Trout Bog,15.8,0.295,17.7,90.7,8.25,254.5,0.032,0.01,17.5,11,0.46,0,4.6,127,19.969,0.298,711.5
5/30/2022,11:21:13,Trout Bog,15.8,0.294,17.7,90.6,8.25,254.7,0.032,0.01,17.5,11,0.46,0,4.6,126.8,19.914,0.295,711.7
5/30/2022,11:21:15,Trout Bog,15.8,0.295,17.7,90.3,8.24,255,0.032,0.01,17.6,11,0.46,0,4.6,126.6,19.815,0.293,711.7
5/30/2022,11:21:17,Trout Bog,15.8,0.295,17.8,90,8.23,255.1,0.032,0.01,17.6,11,0.45,0,4.6,126.4,19.697,0.31,711.6
5/30/2022,11:21:19,Trout Bog,15.8,0.295,17.8,89.7,8.22,255.3,0.032,0.01,17.7,11,0.47,0,4.61,126.2,19.606,0.286,711.7
5/30/2022,11:21:21,Trout Bog,15.8,0.296,17.9,86.3,7.92,256,0.034,0.01,17.7,12,0.48,0,4.61,126.1,19.48,0.316,711.6
5/30/2022,11:21:23,Trout Bog,15.8,0.296,18.5,86.4,7.96,256.8,0.035,0.01,18.2,12,0.49,0,4.61,126,18.042,0.316,711.7
5/30/2022,11:21:25,Trout Bog,15.8,0.299,18.5,87.5,8.28,257.4,0.039,0.01,18.3,12,0.5,0,4.6,125.9,17.955,0.335,711.6
