Date,Time,Site,Unit ID,User ID,Temp,Barometer,ODO,ODO.1,Sp_Cond,C_uS,nLFC,TDS,Sal,pH,pH.1,ORP,Turbidity,TSS,Depth,Vertical_Position
6/27/2022,10:17:55 AM,Trout Bog,BogGhost,Charles,19.738,724.1,63.4,5.8,20.6,18.5,20.8,13,0.01,4.47,129.7,286.8,-0.25,0,0.285,0.276
6/27/2022,10:17:57 AM,Trout Bog,BogGhost,Charles,19.745,724.1,63.4,5.8,20.6,18.5,20.8,13,0.01,4.47,129.7,286.7,-0.26,0,0.285,0.27
6/27/2022,10:17:59 AM,Trout Bog,BogGhost,Charles,19.748,724.2,63.4,5.8,20.6,18.5,20.8,13,0.01,4.47,129.7,286.5,-0.25,0,0.285,0.298
6/27/2022,10:18:01 AM,Trout Bog,BogGhost,Charles,19.752,724.1,63.5,5.8,20.6,18.5,20.8,13,0.01,4.47,129.7,286.4,-0.25,0,0.285,0.279
6/27/2022,10:18:03 AM,Trout Bog,BogGhost,Charles,19.755,724.2,63.5,5.8,20.6,18.5,20.8,13,0.01,4.47,129.7,286.3,-0.26,0,0.285,0.283
6/27/2022,10:18:05 AM,Trout Bog,BogGhost,Charles,19.757,724.1,63.5,5.8,20.6,18.5,20.8,13,0.01,4.46,129.9,286.4,-0.26,0,0.284,0.283
6/27/2022,10:18:07 AM,Trout Bog,BogGhost,Charles,19.76,724.1,63.5,5.8,20.6,18.5,20.8,13,0.01,4.46,130.1,286.4,-0.26,0,0.285,0.289
6/27/2022,10:18:09 AM,Trout Bog,BogGhost,Charles,19.763,724.1,63.5,5.8,20.6,18.5,20.8,13,0.01,4.46,130.2,286.4,-0.25,0,0.285,0.289
6/27/2022,10:18:11 AM,Trout Bog,BogGhost,Charles,19.756,724.2,63.5,5.8,20.6,18.5,20.8,13,0.01,4.46,130.2,286.4,-0.24,0,0.284,0.277
6/27/2022,10:18:13 AM,Trout Bog,BogGhost,Charles,19.741,724.1,63.5,5.8,20.6,18.5,20.8,13,0.01,4.46,130.2,286.4,-0.23,0,0.284,0.292
6/27/2022,10:18:15 AM,Trout Bog,BogGhost,Charles,19.72,724.1,63.4,5.8,20.6,18.5,20.8,13,0.01,4.46,130.3,286.6,-0.21,0,0.284,0.285
