Date,Time,Site,Unit ID,User ID,Temp,Barometer,ODO,ODO.1,Cond,Sp_Cond,nLFCond,TDS,Sal,pH,pH.1,ORP,Turbidity,TSS,Depth,Vertical_Position,Pressure
8/2/2022,11:55:00 AM,Trout Bog,BogGhost,Charles,26.231,715.9,86.3,6.97,18.7,19.1,18.6,12,0.01,4.53,125.8,250.9,0.23,0,0.276,0.288,0.006
8/2/2022,11:55:02 AM,Trout Bog,BogGhost,Charles,26.208,715.9,86.4,6.99,18.7,19.1,18.6,12,0.01,4.53,125.8,251.2,0.25,0,0.276,0.285,0.006
8/2/2022,11:55:04 AM,Trout Bog,BogGhost,Charles,26.194,715.9,86.5,7,18.7,19.1,18.7,12,0.01,4.44,131.2,251.6,0.27,0,0.276,0.263,0.005
8/2/2022,11:55:06 AM,Trout Bog,BogGhost,Charles,26.175,715.9,86.6,7,18.7,19.1,18.7,12,0.01,4.3,139.6,266.9,0.29,0,0.276,0.29,0.006
8/2/2022,11:55:08 AM,Trout Bog,BogGhost,Charles,26.139,715.9,86.7,7.01,18.7,19.1,18.7,12,0.01,4.36,135.7,265.9,0.32,0,0.276,0.265,0.005
8/2/2022,11:55:10 AM,Trout Bog,BogGhost,Charles,26.072,715.9,86.7,7.02,18.7,19.1,18.7,12,0.01,4.36,136.2,267.1,0.34,0,0.276,0.283,0.006
8/2/2022,11:55:12 AM,Trout Bog,BogGhost,Charles,26.006,715.8,86.8,7.04,18.7,19.1,18.7,12,0.01,4.35,136.4,267.1,0.36,0,0.276,0.272,0.006
8/2/2022,11:55:14 AM,Trout Bog,BogGhost,Charles,25.953,715.8,86.9,7.06,18.7,19.1,18.7,12,0.01,4.37,135.5,266.2,0.36,0,0.276,0.283,0.006
8/2/2022,11:55:16 AM,Trout Bog,BogGhost,Charles,25.901,715.9,87.1,7.08,18.8,19.1,18.7,12,0.01,4.38,134.7,265.4,0.36,0,0.276,0.277,0.006
8/2/2022,11:55:18 AM,Trout Bog,BogGhost,Charles,25.854,715.9,87.1,7.08,18.8,19.1,18.7,12,0.01,4.39,134,264.9,0.37,0,0.277,0.276,0.006
8/2/2022,11:55:20 AM,Trout Bog,BogGhost,Charles,24.346,715.9,87,7.25,19.3,19,19.3,13,0.01,4.39,133.3,264.6,0.34,0,0.277,0.286,0.007
8/2/2022,11:55:22 AM,Trout Bog,BogGhost,Charles,24.028,715.9,87.1,7.32,19.4,19,19.4,13,0.01,4.4,132.7,264.5,0.32,0,0.277,0.269,0.007
8/2/2022,11:55:24 AM,Trout Bog,BogGhost,Charles,23.83,715.9,87,7.35,19.4,19,19.5,13,0.01,4.4,132.3,264.5,0.27,0,0.278,0.313,0.008
8/2/2022,11:55:26 AM,Trout Bog,BogGhost,Charles,23.748,715.9,86.7,7.33,19.4,18.9,19.5,13,0.01,4.41,131.9,264.7,0.26,0,0.28,0.33,0.012
8/2/2022,11:55:28 AM,Trout Bog,BogGhost,Charles,23.67,715.9,86.2,7.3,19.4,18.9,19.4,13,0.01,4.42,131.5,264.9,0.21,0,0.284,0.368,0.017
8/2/2022,11:55:30 AM,Trout Bog,BogGhost,Charles,23.577,715.9,85.6,7.26,19.3,18.8,19.4,13,0.01,4.42,131,265.3,0.19,0,0.288,0.366,0.023
8/2/2022,11:55:32 AM,Trout Bog,BogGhost,Charles,23.439,715.9,85.2,7.24,19.3,18.7,19.4,13,0.01,4.43,130.2,265.5,0.15,0,0.294,0.405,0.032
8/2/2022,11:55:34 AM,Trout Bog,BogGhost,Charles,23.299,715.9,84.6,7.21,19.3,18.7,19.3,13,0.01,4.45,129.4,265.8,0.12,0,0.3,0.389,0.039
8/2/2022,11:55:36 AM,Trout Bog,BogGhost,Charles,23.163,715.9,84,7.18,19.3,18.6,19.3,13,0.01,4.46,128.8,266.3,0.11,0,0.308,0.434,0.051
