Date,Time,Site,Unit ID,User ID,Temp,Barometer,ODO,ODO.1,Sp_Cond,C_uS,nLFC,TDS,Sal,pH,pH.1,ORP,Turbidity,TSS,Depth,Vertical_Position,Pressure
8/8/2022,12:47:30 PM,Trout Bog,BogGhost,Charles,24.179,719.5,85.4,7.17,17.9,17.7,18,12,0.01,4.5,124.2,265.8,0.35,0,0.284,0.298,0.018
8/8/2022,12:47:32 PM,Trout Bog,BogGhost,Charles,24.132,719.5,85.2,7.15,17.9,17.7,18,12,0.01,4.5,124,265.7,0.36,0,0.284,0.297,0.017
8/8/2022,12:47:34 PM,Trout Bog,BogGhost,Charles,24.119,719.5,85,7.14,17.9,17.6,18,12,0.01,4.5,124.1,266,0.35,0,0.284,0.277,0.017
8/8/2022,12:47:36 PM,Trout Bog,BogGhost,Charles,24.124,719.5,84.9,7.13,17.9,17.6,17.9,12,0.01,4.24,139.3,282.5,0.35,0,0.285,0.297,0.018
8/8/2022,12:47:38 PM,Trout Bog,BogGhost,Charles,24.114,719.5,84.8,7.12,17.9,17.6,17.9,12,0.01,4.18,142.6,286.4,0.35,0,0.284,0.272,0.017
8/8/2022,12:47:40 PM,Trout Bog,BogGhost,Charles,24.083,719.5,84.8,7.12,17.9,17.6,17.9,12,0.01,4.21,141,285,0.39,0,0.285,0.288,0.018
8/8/2022,12:47:42 PM,Trout Bog,BogGhost,Charles,24.067,719.5,84.8,7.13,17.9,17.6,17.9,12,0.01,4.24,139.2,283.6,0.4,0,0.285,0.277,0.018
8/8/2022,12:47:44 PM,Trout Bog,BogGhost,Charles,24.084,719.6,84.8,7.12,17.9,17.6,17.9,12,0.01,4.27,137.5,281.9,0.43,0,0.284,0.281,0.017
8/8/2022,12:47:46 PM,Trout Bog,BogGhost,Charles,24.081,719.5,84.7,7.12,17.9,17.6,17.9,12,0.01,4.29,136,280.7,0.44,0,0.284,0.288,0.018
8/8/2022,12:47:48 PM,Trout Bog,BogGhost,Charles,24.063,719.5,84.8,7.13,17.9,17.6,18,12,0.01,4.32,134.7,279.7,0.46,0,0.284,0.284,0.017
8/8/2022,12:47:50 PM,Trout Bog,BogGhost,Charles,24.051,719.5,84.8,7.14,17.9,17.6,18,12,0.01,4.34,133.6,278.8,0.48,0,0.284,0.284,0.017
8/8/2022,12:47:52 PM,Trout Bog,BogGhost,Charles,24.054,719.6,84.9,7.14,17.9,17.6,18,12,0.01,4.35,132.6,278.1,0.48,0,0.284,0.289,0.017
8/8/2022,12:47:54 PM,Trout Bog,BogGhost,Charles,24.042,719.6,84.8,7.13,17.9,17.6,18,12,0.01,4.37,131.8,277.5,0.48,0,0.284,0.282,0.017
