Date,Time,Site,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position,,,
6/10/2024,9:37:04 AM,Trout Bog,BogGhost,721.3,15.9,19.1,0.01,19.4,12,16.269,,,58.2,5.71,,0.06,0,4.09,135.3,316.8,0,0,-0.004,,,
6/10/2024,9:37:06 AM,Trout Bog,BogGhost,721.2,16,19.2,0.01,19.4,12,16.304,,,58.1,5.7,,0.06,0,4.09,135.1,317.3,0.001,0.03,-0.004,,,
6/10/2024,9:37:08 AM,Trout Bog,BogGhost,721.2,16,19.2,0.01,19.5,12,16.326,,,58,5.68,,0.07,0,4.1,135.1,317.7,0.002,0.06,0.015,,,
6/10/2024,9:37:10 AM,Trout Bog,BogGhost,721.3,16,19.2,0.01,19.5,12,16.34,,,57.8,5.67,,0.07,0,4.1,135,318,0.002,0.09,0.009,,,
6/10/2024,9:37:12 AM,Trout Bog,BogGhost,721.3,16.1,19.3,0.01,19.5,13,16.348,,,57.6,5.64,,0.07,0,3.82,151,338.4,0.002,0.12,0.012,,,
6/10/2024,9:37:14 AM,Trout Bog,BogGhost,721.3,16.1,19.3,0.01,19.5,13,16.325,,,57.4,5.62,,0.07,0,3.87,148,336.6,0.002,0.15,-0.001,,,
6/10/2024,9:37:16 AM,Trout Bog,BogGhost,721.2,16.1,19.3,0.01,19.6,13,16.259,,,57.2,5.61,,0.07,0,3.94,144.1,332.6,0.002,0.18,0.001,,,
6/10/2024,9:37:18 AM,Trout Bog,BogGhost,721.3,16.1,19.3,0.01,19.6,13,16.171,,,57,5.6,,0.08,0,3.97,141.9,330.6,0.001,0.21,0.003,,,
6/10/2024,9:37:20 AM,Trout Bog,BogGhost,721.3,16,19.3,0.01,19.6,13,16.08,,,56.8,5.6,,0.08,0,4,140.6,329.7,0.001,0.24,-0.003,,,
6/10/2024,9:37:22 AM,Trout Bog,BogGhost,721.2,16,19.3,0.01,19.6,13,15.983,,,56.8,5.6,,0.08,0,4.01,139.7,329.3,0.001,0.27,0.006,,,
6/10/2024,9:37:24 AM,Trout Bog,BogGhost,721.2,15.9,19.3,0.01,19.6,13,15.865,,,56.8,5.62,,0.08,0,4.02,138.9,329.2,0.001,0.3,-0.001,,,
6/10/2024,9:37:26 AM,Trout Bog,BogGhost,721.2,15.9,19.3,0.01,19.6,13,15.753,,,56.8,5.64,,0.08,0,4.03,138.3,329.2,0.002,0.33,0.016,,,
6/10/2024,9:37:28 AM,Trout Bog,BogGhost,721.2,15.9,19.3,0.01,19.6,13,15.677,,,57,5.66,,0.1,0,4.04,137.9,329.3,0.004,0.36,0.045,,,
6/10/2024,9:37:30 AM,Trout Bog,BogGhost,721.3,15.9,19.3,0.01,19.6,13,15.627,,,57.2,5.69,,0.1,0,4.05,137.5,329.5,0.008,0.39,0.058,,,
6/10/2024,9:37:32 AM,Trout Bog,BogGhost,721.2,15.9,19.4,0.01,19.6,13,15.577,,,57.3,5.71,,0.08,0,4.05,137.1,329.8,0.014,0.42,0.067,,,
6/10/2024,9:37:34 AM,Trout Bog,BogGhost,721.2,15.9,19.4,0.01,19.7,13,15.531,,,57.4,5.73,,0.07,0,4.06,136.8,330.1,0.02,0.45,0.104,,,
6/10/2024,9:37:36 AM,Trout Bog,BogGhost,721.2,15.9,19.4,0.01,19.7,13,15.495,,,57.5,5.74,,0.05,0,4.06,136.4,330.4,0.028,0.48,0.106,,,
6/10/2024,9:37:38 AM,Trout Bog,BogGhost,721.2,15.9,19.4,0.01,19.7,13,15.464,,,57.6,5.75,,0.04,0,4.08,135.5,330.6,0.038,0.51,0.139,,,
6/10/2024,9:37:40 AM,Trout Bog,BogGhost,721.2,15.8,19.4,0.01,19.7,13,15.434,,,57.6,5.76,,0.01,0,4.09,135,331.1,0.047,0.54,0.125,,,
6/10/2024,9:37:42 AM,Trout Bog,BogGhost,721.2,15.8,19.4,0.01,19.6,13,15.413,,,57.7,5.76,,-0.03,0,4.1,134.5,332,0.059,0.57,0.169,,,
6/10/2024,9:37:44 AM,Trout Bog,BogGhost,721.2,15.8,19.3,0.01,19.6,13,15.389,,,57.7,5.77,,-0.05,0,4.1,134.2,332.9,0.069,0.6,0.149,,,
6/10/2024,9:37:46 AM,Trout Bog,BogGhost,721.2,15.8,19.3,0.01,19.6,13,15.367,,,57.8,5.78,,-0.07,0,4.11,133.9,333.8,0.083,0.63,0.175,,,
6/10/2024,9:37:48 AM,Trout Bog,BogGhost,721.1,15.7,19.3,0.01,19.6,13,15.341,,,57.8,5.79,,-0.08,0,4.11,133.7,334.7,0.095,0.067,0.179,,,
6/10/2024,9:37:50 AM,Trout Bog,BogGhost,721.2,15.7,19.3,0.01,19.6,13,15.32,,,57.9,5.8,,-0.09,0,4.11,133.4,335.7,0.11,0.078,0.186,,,
6/10/2024,9:37:52 AM,Trout Bog,BogGhost,721.2,15.7,19.3,0.01,19.6,13,15.303,,,58.1,5.82,,-0.09,0,4.12,133.2,336.6,0.124,0.087,0.208,,,
6/10/2024,9:37:54 AM,Trout Bog,BogGhost,721.2,15.7,19.3,0.01,19.6,13,15.288,,,58.2,5.83,,-0.1,0,4.12,133,337.6,0.139,0.098,0.203,,,
6/10/2024,9:37:56 AM,Trout Bog,BogGhost,721.2,15.7,19.3,0.01,19.6,13,15.272,,,58.3,5.85,,-0.1,0,4.13,132.8,338.6,0.157,0.111,0.227,,,
6/10/2024,9:37:58 AM,Trout Bog,BogGhost,721.3,15.7,19.3,0.01,19.6,13,15.262,,,58.5,5.86,,-0.1,0,4.13,132.6,339.5,0.175,0.123,0.23,,,
6/10/2024,9:38:00 AM,Trout Bog,BogGhost,721.3,15.7,19.3,0.01,19.6,13,15.259,,,58.7,5.88,,-0.1,0,4.13,132.5,340.5,0.192,0.135,0.244,,,
6/10/2024,9:38:02 AM,Trout Bog,BogGhost,721.3,15.7,19.3,0.01,19.6,13,15.262,,,58.8,5.9,,-0.1,0,4.13,132.4,341.4,0.211,0.148,0.263,,,
6/10/2024,9:38:04 AM,Trout Bog,BogGhost,721.2,15.7,19.3,0.01,19.6,13,15.26,,,59,5.91,,-0.1,0,4.13,132.2,342.4,0.231,0.163,0.282,,,
6/10/2024,9:38:06 AM,Trout Bog,BogGhost,721.2,15.7,19.3,0.01,19.6,13,15.254,,,59.1,5.93,,-0.11,0,4.14,132.1,343.3,0.249,0.175,0.283,,,
6/10/2024,9:38:08 AM,Trout Bog,BogGhost,721.2,15.7,19.2,0.01,19.5,13,15.246,,,59.3,5.94,,-0.1,0,4.14,132,344.2,0.269,0.189,0.322,,,
6/10/2024,9:38:10 AM,Trout Bog,BogGhost,721.2,15.6,19.2,0.01,19.5,12,15.237,,,59.3,5.95,,-0.1,0,4.14,131.9,345.1,0.286,0.201,0.313,,,
6/10/2024,9:38:12 AM,Trout Bog,BogGhost,721.2,15.6,19.2,0.01,19.5,12,15.224,,,59.4,5.96,,-0.08,0,4.14,131.8,346,0.305,0.215,0.354,,,
6/10/2024,9:38:14 AM,Trout Bog,BogGhost,721.2,15.6,19.2,0.01,19.5,12,15.205,,,59.5,5.97,,-0.06,0,4.14,131.8,346.8,0.321,0.226,0.325,,,
6/10/2024,9:38:16 AM,Trout Bog,BogGhost,721.2,15.6,19.2,0.01,19.4,12,15.186,,,59.5,5.98,,-0.07,0,4.14,131.7,347.6,0.34,0.239,0.367,,,
6/10/2024,9:38:18 AM,Trout Bog,BogGhost,721.2,15.6,19.2,0.01,19.4,12,15.167,,,59.5,5.98,,-0.06,0,4.14,131.7,348.4,0.357,0.251,0.373,,,
6/10/2024,9:38:20 AM,Trout Bog,BogGhost,721.2,15.6,19.2,0.01,19.5,12,15.147,,,59.5,5.98,,-0.05,0,4.14,131.6,349.2,0.376,0.264,0.392,,,
6/10/2024,9:38:22 AM,Trout Bog,BogGhost,721.2,15.6,19.2,0.01,19.5,12,15.129,,,59.4,5.97,,-0.06,0,4.14,131.6,350,0.394,0.277,0.416,,,
6/10/2024,9:38:24 AM,Trout Bog,BogGhost,721.2,15.6,19.2,0.01,19.5,12,15.11,,,59.2,5.96,,-0.06,0,4.14,131.6,350.8,0.413,0.291,0.419,,,
6/10/2024,9:38:26 AM,Trout Bog,BogGhost,721.3,15.6,19.3,0.01,19.6,13,15.091,,,58.9,5.93,,-0.06,0,4.14,131.6,351.7,0.431,0.304,0.43,,,
