Date,Time,Site,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position,,
6/21/2024,9:47:15 AM,Trout Bog,BogGhost,725.4,15.6,17.3,0.01,17.5,11,19.855,,,75.1,6.85,,-0.76,0,4.35,119.2,322.4,0,0,-0.001,,
6/21/2024,9:47:17 AM,Trout Bog,BogGhost,725.5,15.6,17.3,0.01,17.5,11,19.855,,,75.1,6.85,,-0.75,0,4.35,119.2,322.9,0,0.035,-0.009,,
6/21/2024,9:47:19 AM,Trout Bog,BogGhost,725.5,15.7,17.4,0.01,17.5,11,19.856,,,75,6.84,,-0.75,0,4.35,119.2,323.2,0.001,0.07,0.013,,
6/21/2024,9:47:21 AM,Trout Bog,BogGhost,725.4,15.7,17.4,0.01,17.5,11,19.858,,,75,6.84,,-0.74,0,4.35,119.3,323.7,0,0.105,-0.008,,
6/21/2024,9:47:23 AM,Trout Bog,BogGhost,725.5,15.7,17.4,0.01,17.6,11,19.858,,,75,6.84,,-0.75,0,4.14,131.5,339.7,0.002,0.14,0.021,,
6/21/2024,9:47:25 AM,Trout Bog,BogGhost,725.5,15.7,17.4,0.01,17.6,11,19.859,,,74.9,6.83,,-0.74,0,4.22,126.8,334.5,0.001,0.175,0,,
6/21/2024,9:47:27 AM,Trout Bog,BogGhost,725.4,15.7,17.4,0.01,17.6,11,19.86,,,74.9,6.83,,-0.74,0,4.25,125.2,332.8,0.002,0.21,-0.004,,
6/21/2024,9:47:29 AM,Trout Bog,BogGhost,725.4,15.7,17.5,0.01,17.6,11,19.861,,,74.8,6.82,,-0.74,0,4.26,124.3,331.9,0.001,0.245,0.007,,
6/21/2024,9:47:31 AM,Trout Bog,BogGhost,725.4,15.8,17.5,0.01,17.6,11,19.86,,,74.6,6.8,,-0.73,0,4.27,123.8,331.6,0,0.28,-0.008,,
6/21/2024,9:47:33 AM,Trout Bog,BogGhost,725.4,15.8,17.5,0.01,17.7,11,19.86,,,74.5,6.79,,-0.71,0,4.28,123.5,331.4,0.001,0.315,0.01,,
6/21/2024,9:47:35 AM,Trout Bog,BogGhost,725.4,15.8,17.5,0.01,17.7,11,19.859,,,74.3,6.78,,-0.67,0,4.28,123.2,331.2,0.001,0.35,0.002,,
6/21/2024,9:47:37 AM,Trout Bog,BogGhost,725.5,15.8,17.5,0.01,17.7,11,19.857,,,74.2,6.76,,-0.67,0,4.29,122.9,331.1,0.003,0.385,0.036,,
6/21/2024,9:47:39 AM,Trout Bog,BogGhost,725.4,15.8,17.5,0.01,17.7,11,19.855,,,74,6.75,,-0.67,0,4.29,122.6,331.1,0.006,0.42,0.049,,
6/21/2024,9:47:41 AM,Trout Bog,BogGhost,725.4,15.8,17.5,0.01,17.7,11,19.853,,,73.9,6.74,,-0.68,0,4.3,122.5,331.2,0.011,0.455,0.074,,
6/21/2024,9:47:43 AM,Trout Bog,BogGhost,725.4,15.8,17.5,0.01,17.7,11,19.852,,,73.9,6.74,,-0.69,0,4.3,122.4,331.3,0.017,0.49,0.1,,
6/21/2024,9:47:45 AM,Trout Bog,BogGhost,725.4,15.8,17.5,0.01,17.7,11,19.849,,,73.8,6.73,,-0.72,0,4.3,122.3,331.5,0.026,0.525,0.128,,
6/21/2024,9:47:47 AM,Trout Bog,BogGhost,725.4,15.8,17.6,0.01,17.7,11,19.842,,,73.7,6.73,,-0.7,0,4.3,122.2,331.7,0.036,0.56,0.132,,
6/21/2024,9:47:49 AM,Trout Bog,BogGhost,725.4,15.8,17.6,0.01,17.7,11,19.831,,,73.7,6.72,,-0.73,0,4.3,122,331.9,0.049,0.595,0.187,,
6/21/2024,9:47:51 AM,Trout Bog,BogGhost,725.4,15.8,17.6,0.01,17.7,11,19.819,,,73.7,6.72,,-0.74,0,4.31,121.8,332.2,0.061,0.63,0.18,,
6/21/2024,9:47:53 AM,Trout Bog,BogGhost,725.4,15.8,17.6,0.01,17.7,11,19.807,,,73.6,6.72,,-0.75,0,4.31,121.7,332.7,0.077,0.665,0.219,,
6/21/2024,9:47:55 AM,Trout Bog,BogGhost,725.4,15.8,17.6,0.01,17.8,11,19.793,,,73.6,6.72,,-0.74,0,4.31,121.6,333.2,0.093,0.7,0.224,,
6/21/2024,9:47:57 AM,Trout Bog,BogGhost,725.4,15.8,17.6,0.01,17.8,11,19.776,,,73.6,6.72,,-0.75,0,4.31,121.7,333.8,0.113,0.08,0.251,,
6/21/2024,9:47:59 AM,Trout Bog,BogGhost,725.4,15.8,17.6,0.01,17.8,11,19.761,,,73.6,6.73,,-0.74,0,4.31,121.7,334.5,0.131,0.093,0.271,,
6/21/2024,9:48:01 AM,Trout Bog,BogGhost,725.5,15.8,17.6,0.01,17.8,11,19.752,,,73.7,6.73,,-0.75,0,4.31,121.8,335.2,0.153,0.108,0.285,,
6/21/2024,9:48:03 AM,Trout Bog,BogGhost,725.5,15.8,17.6,0.01,17.8,11,19.744,,,73.7,6.74,,-0.75,0,4.31,121.8,336,0.175,0.123,0.332,,
6/21/2024,9:48:05 AM,Trout Bog,BogGhost,725.4,15.8,17.6,0.01,17.8,11,19.734,,,73.8,6.74,,-0.75,0,4.31,121.9,336.7,0.202,0.143,0.346,,
6/21/2024,9:48:07 AM,Trout Bog,BogGhost,725.4,15.8,17.6,0.01,17.8,11,19.723,,,73.9,6.75,,-0.74,0,4.3,121.9,337.6,0.229,0.161,0.369,,
6/21/2024,9:48:09 AM,Trout Bog,BogGhost,725.5,15.8,17.6,0.01,17.8,11,19.715,,,73.9,6.76,,-0.75,0,4.3,121.9,338.3,0.259,0.183,0.392,,
