DATE,TIME,SITE,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position,,
07/02/2024,,Trout Bog,LTER1,,,,,,,19.9,,,80.4,7.32,,NA,,,,NA,,0,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,19.9,,,80.2,7.31,,NA,,,,NA,,0.25,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,19.9,,,80.2,7.3,,NA,,,,NA,,0.5,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,19.8,,,77.3,7.06,,NA,,,,NA,,0.75,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,18.2,,,22,2.07,,NA,,,,NA,,1,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,15.9,,,3,0.3,,NA,,,,NA,,1.25,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,13.9,,,1.4,0.15,,NA,,,,NA,,1.5,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,12.1,,,0.8,0.08,,NA,,,,NA,,1.75,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,10.6,,,0.3,0.03,,NA,,,,NA,,2,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,9.5,,,0,0,,NA,,,,NA,,2.25,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,8.8,,,-0.2,-0.03,,NA,,,,NA,,2.5,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,7.6,,,-0.4,-0.05,,NA,,,,NA,,2.75,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,6.1,,,-0.7,-0.09,,NA,,,,NA,,3,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,5.5,,,-0.9,-0.12,,NA,,,,NA,,3.25,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,5.1,,,-1,-0.13,,NA,,,,NA,,3.5,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.8,,,-1.1,-0.14,,NA,,,,NA,,3.75,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.6,,,-1.2,-0.15,,NA,,,,NA,,4,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.5,,,-1.2,-0.16,,NA,,,,NA,,4.25,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.2,-0.16,,NA,,,,NA,,4.5,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.3,-0.17,,NA,,,,NA,,4.75,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.3,-0.17,,NA,,,,NA,,5,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.3,-0.17,,NA,,,,NA,,5.25,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.3,-0.17,,NA,,,,NA,,5.5,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.3,-0.17,,NA,,,,NA,,5.75,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.3,-0.17,,NA,,,,NA,,6,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.3,-0.18,,NA,,,,NA,,6.25,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.4,-0.18,,NA,,,,NA,,6.5,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.4,-0.18,,NA,,,,NA,,6.75,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.4,-0.18,,NA,,,,NA,,7,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.4,-0.18,,NA,,,,NA,,7.25,,,
07/02/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.4,-0.18,,NA,,,,NA,,7.5,,,
