Date,Time,Site,PROBE_ID,Barometer,Cond,Sp_Cond,Sal,nLFCond,TDS,Temp,Sigma,Sigma.1,ODO,ODO.1,ODO.2,Turbidity,TSS,pH,pH.1,ORP,Pressure,Depth,Vertical_Position
7/18/2024,,Trout Bog,LTER1,,,,,,,27.4,,,82.9,6.55,,NA,,,,NA,,0,
7/18/2024,,Trout Bog,LTER1,,,,,,,24.2,,,70.2,5.89,,NA,,,,NA,,0.25,
7/18/2024,,Trout Bog,LTER1,,,,,,,21.3,,,54.6,4.85,,NA,,,,NA,,0.5,
7/18/2024,,Trout Bog,LTER1,,,,,,,20.6,,,59.3,5.34,,NA,,,,NA,,0.75,
7/18/2024,,Trout Bog,LTER1,,,,,,,20,,,52.3,4.75,,NA,,,,NA,,1,
7/18/2024,,Trout Bog,LTER1,,,,,,,18.4,,,4,0.38,,NA,,,,NA,,1.25,
7/18/2024,,Trout Bog,LTER1,,,,,,,15.7,,,2,0.2,,NA,,,,NA,,1.5,
7/18/2024,,Trout Bog,LTER1,,,,,,,13.1,,,0.8,0.09,,NA,,,,NA,,1.75,
7/18/2024,,Trout Bog,LTER1,,,,,,,11.5,,,0.4,0.05,,NA,,,,NA,,2,
7/18/2024,,Trout Bog,LTER1,,,,,,,9.6,,,0,0,,NA,,,,NA,,2.25,
7/18/2024,,Trout Bog,LTER1,,,,,,,8.1,,,-0.3,-0.04,,NA,,,,NA,,2.5,
7/18/2024,,Trout Bog,LTER1,,,,,,,7,,,-0.5,-0.06,,NA,,,,NA,,2.75,
7/18/2024,,Trout Bog,LTER1,,,,,,,6.4,,,-0.6,-0.08,,NA,,,,NA,,3,
7/18/2024,,Trout Bog,LTER1,,,,,,,5.8,,,-0.8,-0.1,,NA,,,,NA,,3.25,
7/18/2024,,Trout Bog,LTER1,,,,,,,5.4,,,-0.9,-0.11,,NA,,,,NA,,3.5,
7/18/2024,,Trout Bog,LTER1,,,,,,,5,,,-1,-0.12,,NA,,,,NA,,3.75,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.8,,,-1,-0.13,,NA,,,,NA,,4,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.6,,,-1.1,-0.14,,NA,,,,NA,,4.25,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.5,,,-1.1,-0.15,,NA,,,,NA,,4.5,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.2,-0.15,,NA,,,,NA,,4.75,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.2,-0.15,,NA,,,,NA,,5,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.2,-0.15,,NA,,,,NA,,5.25,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.2,-0.15,,NA,,,,NA,,5.5,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.2,-0.15,,NA,,,,NA,,5.75,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.2,-0.15,,NA,,,,NA,,6,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.3,,,-1.2,-0.16,,NA,,,,NA,,6.25,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.2,-0.16,,NA,,,,NA,,6.5,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.2,-0.15,,NA,,,,NA,,6.75,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.2,-0.16,,NA,,,,NA,,7,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.2,-0.16,,NA,,,,NA,,7.25,
7/18/2024,,Trout Bog,LTER1,,,,,,,4.4,,,-1.2,-0.16,,NA,,,,NA,,7.5,
